FT%,3FG%,OREB%,DREB%,AST%,PPP,opp_PPP,eFG%,opp_eFG%,TOV%,FTr,3PAr,STL%,BLK%,Pace,opp_Pace,ORtg,DRtg,NetRtg
0.765036087,0.393504532,0.292705882,0.75,0.545039909,1.133962554,1.009798848,0.541386724,0.504494976,0.159979064,0.335124966,0.355818328,0.077116875,0.038868324,64.62242647,64.64595588,113.3962554,100.9798848,12.41637062
0.588983051,0.291666667,0.379692833,0.64,0.508684864,0.989337848,0.955815227,0.482844494,0.453055556,0.222852698,0.391809629,0.252351965,0.094029578,0.094444444,68.290625,68.4625,98.93378484,95.58152273,3.352262104
0.690457719,0.348717949,0.33104463,0.68,0.510723861,1.065843395,0.990359602,0.523290986,0.475804072,0.205327992,0.389897157,0.412885662,0.097199694,0.059014459,68.02125,68.07291667,106.5843395,99.03596021,7.548379239
0.694868239,0.316081331,0.371428571,0.66,0.548476454,1.007871015,1.032154112,0.456472583,0.510669828,0.198621084,0.407574901,0.305822499,0.110892591,0.069946651,65.60859375,65.9421875,100.7871015,103.2154112,-2.428309689
0.738693467,0.399408284,0.287788215,0.68,0.536458333,1.130601115,0.95733738,0.538612887,0.454856027,0.155874812,0.391539597,0.332513527,0.094511605,0.065885798,68.25277778,68.18680556,113.0601115,95.733738,17.32637352
0.697286013,0.298279159,0.262966333,0.7,0.456140351,0.940985807,1.012543449,0.449027696,0.483190709,0.171686861,0.282262817,0.308190925,0.083119238,0.062958435,61.70390625,62.034375,94.09858067,101.2543449,-7.155764198
0.698524695,0.306478405,0.347982421,0.64,0.532481954,1.059791288,0.968863234,0.492924528,0.473022049,0.183683194,0.387040715,0.298907646,0.13040364,0.080933852,73.45423077,73.02769231,105.9791288,96.88632342,9.092805396
0.69023569,0.336501901,0.310602522,0.66,0.439130435,0.967226416,1.028862855,0.466167665,0.494913226,0.203574853,0.355688623,0.31497006,0.107419589,0.041891083,63.5515625,63.41953125,96.72264156,102.8862855,-6.163643968
0.708466454,0.3688,0.339835284,0.7,0.658576944,1.09954241,0.993156346,0.522100153,0.466846097,0.176625329,0.319877363,0.319366377,0.078244674,0.065329092,63.71408451,63.90211268,109.954241,99.31563461,10.63860639
0.659553831,0.280276817,0.292766935,0.65,0.523728814,0.896736657,1.050264907,0.460891813,0.522435897,0.239447171,0.376827485,0.21125731,0.108090473,0.048433048,74.39010417,73.43385417,89.67366571,105.0264907,-15.35282496
0.67825384,0.314407381,0.291117722,0.65,0.518215613,0.926250561,1.068116443,0.449755958,0.503880118,0.211295085,0.355153603,0.404536319,0.080378223,0.059405941,67.07148438,66.67695313,92.62505606,106.8116443,-14.18658824
0.795520231,0.36749634,0.289980732,0.72,0.563337393,1.123603256,0.957138495,0.531741573,0.452575288,0.168758909,0.388764045,0.383707865,0.086195472,0.054320293,64.91641791,64.7608209,112.3603256,95.71384947,16.64647609
0.68159204,0.380053908,0.347387718,0.72,0.563676633,1.141917132,0.86537036,0.550342646,0.432869081,0.175468659,0.317870322,0.391143911,0.109938986,0.061281337,62.52642857,62.63214286,114.1917132,86.53703598,27.65467724
0.69132856,0.361722488,0.309907272,0.7,0.459050241,1.027442588,1.033936442,0.497575758,0.508574007,0.192970195,0.380909091,0.316666667,0.093949388,0.065583634,69.69094828,69.92025862,102.7442588,103.3936442,-0.64938541
0.712015889,0.327772326,0.258896338,0.7,0.579343365,1.002439901,1.02808127,0.501076592,0.49840441,0.18611337,0.309750846,0.313442018,0.092414614,0.050768784,66.08875,66.54791667,100.2439901,102.808127,-2.564136887
0.66557377,0.331081081,0.30440471,0.7,0.505655356,0.981675611,0.995895609,0.486401374,0.47558647,0.217112032,0.436587461,0.338963642,0.092708345,0.054282597,68.11174242,68.4780303,98.1675611,99.58956091,-1.421999803
0.709638554,0.359267735,0.34811438,0.67,0.487970389,1.059690174,1.01019713,0.489841689,0.486062718,0.190011916,0.437994723,0.34591029,0.101646896,0.048512463,66.89130435,67.01231884,105.9690174,101.019713,4.949304432
0.730234787,0.339,0.320385514,0.69,0.528990964,1.10559751,1.015912278,0.512491444,0.528747628,0.155672367,0.357118412,0.342231348,0.117050762,0.061100569,70.06520619,70.01984536,110.559751,101.5912278,8.968523224
0.75931677,0.413746631,0.288461538,0.73,0.646496815,1.149770475,0.967886101,0.582093518,0.459257473,0.190055343,0.34218916,0.394261424,0.074059886,0.044358727,64.74722222,65.2625,114.9770475,96.7886101,18.18843739
